subject,body,label
Receita de bolo,Aqui está a receita de bolo de chocolate que você pediu.,improdutivo
Mensagem de encorajamento,"Acredite em si mesmo, você é capaz de tudo!",improdutivo
Convite para jantar,Vamos jantar fora hoje?,improdutivo
Notícia interessante,Uma notícia interessante sobre ciência.,improdutivo
Vídeo engraçado,Este vídeo vai te fazer rir.,improdutivo
Recomendação de restaurante,"Você precisa ir a este restaurante, é fantástico.",improdutivo
Promoção de viagens,"Promoção de passagens aéreas, corra e aproveite!",improdutivo
Feliz Ano Novo!,Feliz ano novo! Que este ano seja incrível para você.,improdutivo
Mensagem de encorajamento,"Acredite em si mesmo, você é capaz de tudo!",improdutivo
Convite para ir ao cinema,Vamos assistir um filme no cinema hoje?,improdutivo
Vídeo de gatinho,Olha que fofo este gatinho!,improdutivo
Promoção imperdível,"Só hoje, frete grátis em todas as compras!",improdutivo
Anúncio de evento online,Não perca nosso evento online sobre desenvolvimento pessoal.,improdutivo
Newsletter semanal,Leia nossa newsletter semanal com as últimas notícias.,improdutivo
Saudades de você!,"Estou com saudades, queria te ver em breve.",improdutivo
Convite para churrasco,"Vamos fazer um churrasco no domingo, venha!",improdutivo
Dica de podcast,"Recomendo este podcast, é muito bom.",improdutivo
Vídeo engraçado,Assista a este vídeo engraçado que recebi no WhatsApp.,improdutivo
Memes para a equipe,Aqui estão alguns memes que vi na internet.,improdutivo
Olha o que eu achei,"Olha o que eu achei, te lembras disto?",improdutivo
Olha o que eu comprei,"Olha o que eu comprei hoje, achei que ia gostar de ver.",improdutivo
Vamos tomar um café?,Vamos tomar um café para relaxar?,improdutivo
Recomendação de restaurante,"Você precisa ir a este restaurante, é fantástico.",improdutivo
Memes para a equipe,Aqui estão alguns memes que vi na internet.,improdutivo
Promoção imperdível,"Só hoje, frete grátis em todas as compras!",improdutivo
Fim de ano,Estou animado para o fim de ano e as festas!,improdutivo
Dica de restaurante,"Conheci um restaurante incrível, você precisa ir.",improdutivo
Convite para café,Vamos marcar um café e colocar o papo em dia?,improdutivo
Saudades de você!,"Estou com saudades, queria te ver em breve.",improdutivo
Notícia viral,"Esta notícia está viralizando, você precisa ler.",improdutivo
Novas fotos do meu pet,"Olha as novas fotos do meu cachorro, ele está enorme!",improdutivo
Convite para casamento,Gostaríamos de convidá-lo para nosso casamento.,improdutivo
Convite para evento cultural,Convite para um evento cultural na cidade.,improdutivo
Promoção de viagens,"Promoção de passagens aéreas, corra e aproveite!",improdutivo
Vídeo de gatinho,Olha que fofo este gatinho!,improdutivo
Recomendação de série,Vi que você gosta de séries e achei que ia gostar desta.,improdutivo
Bom dia grupo,"Bom dia, pessoal!",improdutivo
Parabéns!,Parabéns pelo seu sucesso!,improdutivo
Convite para chá de bebê,Vamos comemorar a chegada do meu bebê!,improdutivo
Status de relacionamento,Você já viu o novo status de relacionamento do fulano?,improdutivo
Promoção relâmpago,"Promoção relâmpago de eletrônicos, não perca!",improdutivo
Vídeo de cachorros,Este vídeo de cachorros é a coisa mais fofa que você verá hoje.,improdutivo
Vídeo engraçado,Este vídeo vai te fazer rir.,improdutivo
Convite para café,Vamos marcar um café e colocar o papo em dia?,improdutivo
Feliz Ano Novo!,Feliz ano novo! Que este ano seja incrível para você.,improdutivo
Notícias do dia,Leia as notícias mais importantes do dia no nosso portal.,improdutivo
Convite para almoço,Convido você para almoçar comigo na segunda.,improdutivo
Feliz Dia das Mães!,Feliz Dia das Mães para sua mãe!,improdutivo
Notícias do dia,Leia as notícias mais importantes do dia no nosso portal.,improdutivo
Bom fim de semana!,Tenha um ótimo fim de semana!,improdutivo
Novas fotos do meu pet,"Olha as novas fotos do meu cachorro, ele está enorme!",improdutivo
Novas fotos da família,Olha as novas fotos da minha família.,improdutivo
Fofoca de celebridade,Você soube da última fofoca sobre aquela celebridade?,improdutivo
Vídeo engraçado,Assista a este vídeo engraçado que recebi no WhatsApp.,improdutivo
Olha o que eu achei,"Olha o que eu achei no meu armário, é da nossa época.",improdutivo
Notícias aleatórias,Notícias aleatórias sobre o mundo dos esportes.,improdutivo
Parabéns!,Parabéns pelo seu sucesso!,improdutivo
Promoção de viagens,"Promoção de passagens aéreas, corra e aproveite!",improdutivo
Testes de QI online,Faça este teste de QI e veja se você é um gênio!,improdutivo
Qual sua opinião?,Qual sua opinião sobre o novo filme da Marvel?,improdutivo
Vi essa roupa e lembrei de você,Vi esta roupa em uma loja e achei que combinaria com você.,improdutivo
Vídeo engraçado,Assista a este vídeo engraçado que recebi no WhatsApp.,improdutivo
Bom trabalho!,Parabéns pelo seu trabalho!,improdutivo
Vídeo de gatinhos,"Olha este vídeo de gatinhos, é super fofo!",improdutivo
Saudades de você!,"Estou com saudades, queria te ver em breve.",improdutivo
Vamos ver um jogo?,Vamos ver o jogo do nosso time na minha casa?,improdutivo
Convite para casamento,Gostaríamos de convidá-lo para nosso casamento.,improdutivo
Mensagem de encorajamento,"Acredite em si mesmo, você é capaz de tudo!",improdutivo
Convite para evento,Gostaria de convidá-lo para um evento de caridade.,improdutivo
Você tem um minuto?,Você tem um minuto para me ajudar com uma coisa rápida e pessoal?,improdutivo
Promoção relâmpago,"Promoção relâmpago de eletrônicos, não perca!",improdutivo
Vídeo viral,Veja este vídeo que viralizou na internet.,improdutivo
Mensagem de boa noite,Tenha uma ótima noite de sono.,improdutivo
Feliz Dia dos Pais!,Feliz Dia dos Pais para o seu pai!,improdutivo
Vi essa roupa e lembrei de você,Vi esta roupa em uma loja e achei que combinaria com você.,improdutivo
Convite para festa de Halloween,"Venha para minha festa de Halloween, vai ser demais!",improdutivo
Recomendação de livro,"Você precisa ler este livro, é muito bom.",improdutivo
Convite para barzinho,Vamos tomar uma cerveja e relaxar depois do trabalho?,improdutivo
Vídeo viral,Veja este vídeo que viralizou na internet.,improdutivo
Fofoca de celebridade,Você soube da última fofoca sobre aquela celebridade?,improdutivo
Olha a foto,"Olha a foto que tiramos na semana passada, ficou ótima.",improdutivo
Convite para almoço de amigos,"Almoço de amigos no sábado, você vem?",improdutivo
Receita de bolo de cenoura,Aqui está a receita do bolo de cenoura que prometi.,improdutivo
Vídeo engraçado,Este vídeo vai te fazer rir.,improdutivo
Status de relacionamento,Você já viu o novo status de relacionamento do fulano?,improdutivo
Convite para happy hour,"Happy hour na sexta-feira, você vem?",improdutivo
Recomendação de restaurante,"Você precisa ir a este restaurante, é fantástico.",improdutivo
Feliz Natal!,Desejo um feliz natal para você e sua família.,improdutivo
Feliz Dia dos Pais!,Feliz Dia dos Pais para o seu pai!,improdutivo
Vamos fazer churrasco?,Vamos fazer um churrasco no feriado?,improdutivo
Mensagem de corrente,Repasse esta mensagem para 10 pessoas ou terá azar!,improdutivo
Vídeo engraçado,Assista a este vídeo engraçado que recebi no WhatsApp.,improdutivo
Convite para evento cultural,Convite para um evento cultural na cidade.,improdutivo
Vamos sair?,Vamos sair para conversar e tomar algo?,improdutivo
Qual sua opinião?,Qual sua opinião sobre o novo filme da Marvel?,improdutivo
Você tem um minuto?,Você tem um minuto para me ajudar com uma coisa rápida e pessoal?,improdutivo
Piada de pai,O que o pato disse para a pata? Vem cá pata-pata.,improdutivo
Gostaria de conversar?,Gostaria de conversar sobre um problema pessoal que estou enfrentando?,improdutivo
Piada de pai,O que o pato disse para a pata? Vem cá pata-pata.,improdutivo
Convite para café,Vamos marcar um café e colocar o papo em dia?,improdutivo
Convite para festa de Natal,Convite para nossa festa de Natal de família.,improdutivo
Fofoca do escritório,Você soube da última fofoca sobre a Maria?,improdutivo
Fotos da viagem,Anexei as fotos da minha última viagem para a praia.,improdutivo
Vamos ver um jogo?,Vamos ver o jogo do nosso time na minha casa?,improdutivo
Fofoca do dia,Soube da última fofoca que rolou na internet?,improdutivo
Convite para festa de Halloween,"Venha para minha festa de Halloween, vai ser demais!",improdutivo
Piada de programador,Por que programadores preferem a noite? Porque é quando o bug da luz aparece.,improdutivo
Bom trabalho!,Parabéns pelo seu trabalho!,improdutivo
Olha a foto,"Olha a foto que tiramos na semana passada, ficou ótima.",improdutivo
Convite para festa de Halloween,"Venha para minha festa de Halloween, vai ser demais!",improdutivo
Convite para festa de Halloween,"Venha para minha festa de Halloween, vai ser demais!",improdutivo
Olha o que eu achei,"Olha o que eu achei, te lembras disto?",improdutivo
Bom fim de semana!,Tenha um ótimo fim de semana!,improdutivo
Recomendação de série,Vi que você gosta de séries e achei que ia gostar desta.,improdutivo
Novidades sobre games,Veja as novidades sobre o lançamento de um novo jogo.,improdutivo
Receita de bolo,Aqui está a receita de bolo de chocolate que você pediu.,improdutivo
Saudades de conversar,Saudades das nossas conversas.,improdutivo
Bom dia grupo,"Bom dia, pessoal!",improdutivo
Convite para evento,Gostaria de convidá-lo para um evento de caridade.,improdutivo
Notícias do dia,Últimas notícias do jornal.,improdutivo
Mensagem de corrente,Repasse esta mensagem para 10 pessoas ou terá azar!,improdutivo
Notícias do dia,Últimas notícias do jornal.,improdutivo
Recomendação de podcast,Recomendo que você escute este podcast.,improdutivo
Feliz Páscoa!,"Feliz Páscoa, que seja um dia de paz e alegria.",improdutivo
Vamos fazer churrasco?,Vamos fazer um churrasco no feriado?,improdutivo
Olha a foto,"Olha a foto que tiramos na semana passada, ficou ótima.",improdutivo
Memes para a equipe,Aqui estão alguns memes que vi na internet.,improdutivo
Dica de podcast,"Recomendo este podcast, é muito bom.",improdutivo
Novas fotos,"Acabei de tirar algumas fotos, queria mostrar para você.",improdutivo
Piada de pai,O que o pato disse para a pata? Vem cá pata-pata.,improdutivo
Saudades!,"Estava com saudades, vamos marcar algo.",improdutivo
Olha a foto,"Olha a foto que tiramos na semana passada, ficou ótima.",improdutivo
Gostaria de conversar?,Gostaria de conversar sobre um problema pessoal que estou enfrentando?,improdutivo
Convite para barzinho,Vamos tomar uma cerveja e relaxar depois do trabalho?,improdutivo
Qual sua opinião?,Qual sua opinião sobre o novo episódio da série?,improdutivo
Vídeo de gatinho,Olha que fofo este gatinho!,improdutivo
Recomendação de restaurante,"Você precisa ir a este restaurante, é fantástico.",improdutivo
Saudades!,"Estava com saudades, vamos marcar algo.",improdutivo
Convite para happy hour,"Happy hour na sexta-feira, você vem?",improdutivo
Saudades!,"Estava com saudades, vamos marcar algo.",improdutivo
Promoção relâmpago,"Promoção relâmpago de eletrônicos, não perca!",improdutivo
Saudades!,"Estava com saudades, vamos marcar algo.",improdutivo
Feliz Ano Novo!,Feliz ano novo! Que este ano seja incrível para você.,improdutivo
Vídeo de gatinho,Olha que fofo este gatinho!,improdutivo
Notícias do dia,Leia as notícias mais importantes do dia no nosso portal.,improdutivo
Parabéns pelo trabalho!,"Parabéns pelo excelente trabalho, você merece todo o sucesso!",improdutivo
Convite para evento,Gostaria de convidá-lo para um evento de caridade.,improdutivo
Parabéns pelo prêmio!,Parabéns pelo prêmio que você ganhou!,improdutivo
Vídeo de gatinho,Olha que fofo este gatinho!,improdutivo
Promoção de viagens,"Promoção de passagens aéreas, corra e aproveite!",improdutivo
Artigo aleatório,Vi este artigo sobre astronomia e pensei em você.,improdutivo
Mensagem de boa noite,Tenha uma ótima noite de sono.,improdutivo
Convite para ir ao cinema,Vamos assistir um filme no cinema hoje?,improdutivo
Testes de QI online,Faça este teste de QI e veja se você é um gênio!,improdutivo
Viagem de férias,"Minha viagem de férias foi incrível, queria te contar.",improdutivo
Recomendação de podcast,Recomendo que você escute este podcast.,improdutivo
Novas notícias sobre games,Novas notícias sobre o jogo que estamos esperando.,improdutivo
Dica de viagem,Tenho algumas dicas de viagem para te dar.,improdutivo
Qual sua opinião?,Qual sua opinião sobre o novo filme da Marvel?,improdutivo
Mensagem de corrente,"Se você não compartilhar, vai ter 7 anos de azar!",improdutivo
Recomendação de restaurante,Experimente este novo restaurante na cidade.,improdutivo
Feliz Páscoa!,"Feliz Páscoa, que seja um dia de paz e alegria.",improdutivo
Convite para evento cultural,Convite para um evento cultural na cidade.,improdutivo
Piada de pai,O que o pato disse para a pata? Vem cá pata-pata.,improdutivo
Gostaria de conversar?,Gostaria de conversar sobre um problema pessoal que estou enfrentando?,improdutivo
Saudades de conversar,Saudades das nossas conversas.,improdutivo
Qual sua opinião?,Qual sua opinião sobre o novo episódio da série?,improdutivo
Notícias aleatórias,Notícias aleatórias sobre o mundo dos esportes.,improdutivo
Vídeo engraçado,Este vídeo vai te fazer rir.,improdutivo
Convite para evento,Gostaria de convidá-lo para um evento de caridade.,improdutivo
Convite para jantar,Gostaria de jantar conosco no próximo sábado?,improdutivo
Vamos sair?,Vamos sair para conversar e tomar algo?,improdutivo
Receita de bolo de cenoura,Aqui está a receita do bolo de cenoura que prometi.,improdutivo
Convite para festa,Você está convidado para a minha festa de aniversário.,improdutivo
Convite para evento cultural,Convite para um evento cultural na cidade.,improdutivo
Mensagem de otimismo,Acredite no seu potencial.,improdutivo
Notícia viral,"Esta notícia está viralizando, você precisa ler.",improdutivo
Saudades!,"Estava com saudades, vamos marcar algo.",improdutivo
Feliz Ano Novo!,Feliz ano novo! Que este ano seja incrível para você.,improdutivo
Convite para evento,Gostaria de convidá-lo para um evento de caridade.,improdutivo
Fofoca de celebridade,Você soube da última fofoca sobre aquela celebridade?,improdutivo
Convite para almoço de amigos,"Almoço de amigos no sábado, você vem?",improdutivo
Convite para casamento,Gostaríamos de convidá-lo para nosso casamento.,improdutivo
Receita de bolo de cenoura,Aqui está a receita do bolo de cenoura que prometi.,improdutivo
Fofoca de celebridade,Você soube da última fofoca sobre aquela celebridade?,improdutivo
Recomendação de restaurante,"Você precisa ir a este restaurante, é fantástico.",improdutivo
Notícias do dia,Leia as notícias mais importantes do dia no nosso portal.,improdutivo
Dica de livro,Este livro é uma leitura obrigatória.,improdutivo
Recomendação de podcast,Recomendo que você escute este podcast.,improdutivo
Receita de bolo,Aqui está a receita de bolo de chocolate que você pediu.,improdutivo
Saudades!,"Estava com saudades, vamos marcar algo.",improdutivo
Vídeo engraçado,Este vídeo vai te fazer rir.,improdutivo
Recomendação de série,Vi que você gosta de séries e achei que ia gostar desta.,improdutivo
Mensagem de otimismo,Acredite no seu potencial.,improdutivo
Receita de bolo de cenoura,Aqui está a receita do bolo de cenoura que prometi.,improdutivo
Recomendação de restaurante,Experimente este novo restaurante na cidade.,improdutivo
Saudades de conversar,Saudades das nossas conversas.,improdutivo
Fofoca de celebridade,Você viu a última fofoca daquela celebridade?,improdutivo
Notícias aleatórias,Notícias aleatórias sobre o mundo dos esportes.,improdutivo
Notícias do dia,Leia as notícias mais importantes do dia no nosso portal.,improdutivo
Artigo aleatório,Vi este artigo sobre astronomia e pensei em você.,improdutivo
Meme,Enviando apenas um meme engraçado para animar a tarde. Obrigado.,improdutivo
Curiosidade #28,Vocês sabiam que as tartarugas podem viver mais de 100 anos?,improdutivo
Curiosidade,Vocês sabiam que as tartarugas podem viver mais de 100 anos? Obrigado.,improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk.,improdutivo
Teste de email,Só enviando para ver se o email está funcionando.,improdutivo
Curiosidade #14,Vocês sabiam que as tartarugas podem viver mais de 100 anos? Obrigado.,improdutivo
Curiosidade,Vocês sabiam que as tartarugas podem viver mais de 100 anos? Obrigado.,improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk.,improdutivo
Curiosidade,Vocês sabiam que as tartarugas podem viver mais de 100 anos?,improdutivo
Meme,Enviando apenas um meme engraçado para animar a tarde.,improdutivo
Sem conteúdo,Esse email não tem nenhuma informação relevante.,improdutivo
Meme,Enviando apenas um meme engraçado para animar a tarde. Obrigado.,improdutivo
Teste de email,Só enviando para ver se o email está funcionando.,improdutivo
Meme,Enviando apenas um meme engraçado para animar a tarde.,improdutivo
Bom diaaa #36,"Só passei para desejar um bom dia a todos, sem novidades. Obrigado.",improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk.,improdutivo
Curiosidade #21,Vocês sabiam que as tartarugas podem viver mais de 100 anos? Obrigado.,improdutivo
Teste de email #33,Só enviando para ver se o email está funcionando.,improdutivo
Sem assunto importante,"Não tenho nada para falar agora, apenas queria mandar algo. Obrigado.",improdutivo
Meme,Enviando apenas um meme engraçado para animar a tarde. Obrigado.,improdutivo
Saudade #36,"E aí, pessoal, quanto tempo sem falar nada, né? Obrigado.",improdutivo
Sem assunto importante,"Não tenho nada para falar agora, apenas queria mandar algo.",improdutivo
Mensagem vazia,"Não sei o que escrever, mas queria mandar uma mensagem mesmo assim. Obrigado.",improdutivo
Sem conteúdo,Esse email não tem nenhuma informação relevante. Obrigado.,improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk.,improdutivo
Meme #24,Enviando apenas um meme engraçado para animar a tarde. Obrigado.,improdutivo
Mensagem vazia,"Não sei o que escrever, mas queria mandar uma mensagem mesmo assim. Obrigado.",improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk.,improdutivo
Meme,Enviando apenas um meme engraçado para animar a tarde. Obrigado.,improdutivo
Bom diaaa,"Só passei para desejar um bom dia a todos, sem novidades. Obrigado.",improdutivo
Curiosidade #32,Vocês sabiam que as tartarugas podem viver mais de 100 anos? Obrigado.,improdutivo
Saudade,"E aí, pessoal, quanto tempo sem falar nada, né?",improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk. Obrigado.,improdutivo
Piada do dia #42,Qual o peixe que cai do céu? Adivinha? kkkk. Obrigado.,improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk.,improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk. Obrigado.,improdutivo
Curiosidade,Vocês sabiam que as tartarugas podem viver mais de 100 anos? Obrigado.,improdutivo
Teste de email,Só enviando para ver se o email está funcionando.,improdutivo
Mensagem vazia,"Não sei o que escrever, mas queria mandar uma mensagem mesmo assim.",improdutivo
Sem conteúdo,Esse email não tem nenhuma informação relevante.,improdutivo
Bom diaaa,"Só passei para desejar um bom dia a todos, sem novidades.",improdutivo
Teste de email,Só enviando para ver se o email está funcionando. Obrigado.,improdutivo
Bom diaaa,"Só passei para desejar um bom dia a todos, sem novidades. Obrigado.",improdutivo
Sem assunto importante,"Não tenho nada para falar agora, apenas queria mandar algo.",improdutivo
Desabafo #39,"Estou cansado hoje, precisava falar com alguém.",improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk.,improdutivo
Saudade,"E aí, pessoal, quanto tempo sem falar nada, né?",improdutivo
Saudade #30,"E aí, pessoal, quanto tempo sem falar nada, né? Obrigado.",improdutivo
Sem conteúdo #8,Esse email não tem nenhuma informação relevante.,improdutivo
Desabafo,"Estou cansado hoje, precisava falar com alguém.",improdutivo
Meme #15,Enviando apenas um meme engraçado para animar a tarde. Obrigado.,improdutivo
Bom diaaa,"Só passei para desejar um bom dia a todos, sem novidades. Obrigado.",improdutivo
Bom diaaa,"Só passei para desejar um bom dia a todos, sem novidades.",improdutivo
Saudade,"E aí, pessoal, quanto tempo sem falar nada, né? Obrigado.",improdutivo
Bom diaaa,"Só passei para desejar um bom dia a todos, sem novidades. Obrigado.",improdutivo
Bom diaaa #21,"Só passei para desejar um bom dia a todos, sem novidades. Obrigado.",improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk.,improdutivo
Bom diaaa,"Só passei para desejar um bom dia a todos, sem novidades.",improdutivo
Saudade,"E aí, pessoal, quanto tempo sem falar nada, né?",improdutivo
Desabafo,"Estou cansado hoje, precisava falar com alguém.",improdutivo
Mensagem vazia #47,"Não sei o que escrever, mas queria mandar uma mensagem mesmo assim.",improdutivo
Desabafo,"Estou cansado hoje, precisava falar com alguém.",improdutivo
Teste de email,Só enviando para ver se o email está funcionando.,improdutivo
Desabafo #15,"Estou cansado hoje, precisava falar com alguém.",improdutivo
Sem conteúdo,Esse email não tem nenhuma informação relevante.,improdutivo
Sem assunto importante,"Não tenho nada para falar agora, apenas queria mandar algo. Obrigado.",improdutivo
Sem conteúdo #41,Esse email não tem nenhuma informação relevante. Obrigado.,improdutivo
Sem assunto importante,"Não tenho nada para falar agora, apenas queria mandar algo.",improdutivo
Teste de email,Só enviando para ver se o email está funcionando. Obrigado.,improdutivo
Meme #24,Enviando apenas um meme engraçado para animar a tarde.,improdutivo
Saudade,"E aí, pessoal, quanto tempo sem falar nada, né?",improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk.,improdutivo
Bom diaaa,"Só passei para desejar um bom dia a todos, sem novidades.",improdutivo
Teste de email,Só enviando para ver se o email está funcionando. Obrigado.,improdutivo
Saudade,"E aí, pessoal, quanto tempo sem falar nada, né? Obrigado.",improdutivo
Curiosidade,Vocês sabiam que as tartarugas podem viver mais de 100 anos?,improdutivo
Teste de email,Só enviando para ver se o email está funcionando.,improdutivo
Sem assunto importante #4,"Não tenho nada para falar agora, apenas queria mandar algo.",improdutivo
Piada do dia,Qual o peixe que cai do céu? Adivinha? kkkk.,improdutivo
